Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F2_2,,02,256.50,38.00,,,,00
1,AP Target,REF_B0_F2_1,,02,0.00,0.00,,,,00
1,AP Points,2655,00,02,20.52,10.63,,Staff Mess Room,,
1,AP Points,2654,00,02,13.19,23.37,,Crew Bar,,
1,AP Points,2653,00,02,25.37,30.96,,Crew Messroom,,
1,AP Points,2652,00,02,29.43,5.63,,Crew Retail,,
1,AP Points,2651,00,02,30.81,29.58,,Crew Messroom,,
1,AP Points,2650,00,02,36.60,11.85,,Office,,
1,AP Points,2649,00,02,47.63,9.63,2600,Cabin,,
1,AP Points,2648,00,02,46.80,29.03,,Duty Crew Room,,
1,AP Points,2547,00,02,51.96,21.28,2797,Cabin,,
1,AP Points,2546,00,02,56.11,9.63,2594,Cabin,,
1,AP Points,2545,00,02,55.38,28.62,2098,Cabin,,
1,AP Points,2544,00,02,62.99,16.27,2589,Cabin,,
1,AP Points,2542,00,02,69.42,9.40,2584,Cabin,,
1,AP Points,2541,00,02,73.15,16.10,2581,Cabin,,
1,AP Points,2540,00,02,74.45,24.09,2085,Cabin,,
1,AP Points,2539,00,02,78.18,9.32,2578,Cabin,,
1,AP Points,2538,00,02,76.69,28.38,2084,Cabin,,
1,AP Points,2537,00,02,83.78,32.39,2078,Cabin,,
1,AP Points,2536,00,02,88.53,9.26,2570,Cabin,,
1,AP Points,2535,00,02,90.20,28.54,2072,Cabin,,
1,AP Points,2434,00,02,99.24,9.68,2564,Cabin,,
1,AP Points,2433,00,02,99.25,28.42,2068,Cabin,,
1,AP Points,2432,00,02,109.22,9.56,2558,Cabin,,
1,AP Points,2431,00,02,109.90,28.43,2062,Cabin,,
1,AP Points,2430,00,02,114.44,5.39,2546,Cabin,,
1,AP Points,2429,00,02,120.69,9.42,2552,Cabin,,
1,AP Points,2428,00,02,120.67,28.44,2051,Cabin,,
1,AP Points,2427,00,02,131.38,16.33,2543,Cabin,,
1,AP Points,2426,00,02,131.76,28.40,2044,Cabin,,
1,AP Points,2425,00,02,132.30,9.34,2544,Cabin,,
1,AP Points,2324,00,02,139.95,9.50,2540,Cabin,,
1,AP Points,2323,00,02,141.18,16.15,2537,Cabin,,
1,AP Points,2322,00,02,140.34,28.50,2040,Cabin,,
1,AP Points,2321,00,02,150.32,9.51,2532,Cabin,,
1,AP Points,2320,00,02,151.34,16.18,2529,Cabin,,
1,AP Points,2319,00,02,150.51,28.35,2032,Cabin,,
1,AP Points,2318,00,02,161.72,9.56,2522,Cabin,,
1,AP Points,2317,00,02,161.94,28.54,2024,Cabin,,
1,AP Points,2316,00,02,170.18,9.56,2516,Cabin,,
1,AP Points,2314,00,02,175.44,28.29,2012,Cabin,,
1,AP Points,2313,00,02,177.81,9.64,2510,Cabin,,
1,AP Points,2312,00,02,182.66,32.26,2008,Cabin,,
1,AP Points,2211,00,02,184.98,5.75,2506,Cabin,,
1,AP Points,2210,00,02,189.44,10.87,2501,Cabin,,
1,AP Points,2209,00,02,189.73,27.30,2002,Cabin,,
1,AP Points,2208,00,02,194.61,17.38,EE3,,,
1,AP Points,2207,00,02,199.99,10.61,EE2,,,
1,AP Points,2206,00,02,199.83,27.25,EE2,,,
1,AP Points,2205,00,02,203.85,19.56,EE3,,,
1,AP Points,2204,00,02,211.01,12.86,EE2,,,
1,AP Points,2203,00,02,211.05,24.78,EE2,,,
1,AP Points,2202,00,02,213.29,18.69,EE3,,,
1,AP Points,2201,00,02,218.43,19.62,ORCH. PITT,,,
1,AP Points,0243,00,02,66.83,28.41,2090,Cabin,,
1,AP Points,0215,00,02,170.20,28.18,2016,Cabin,,
