Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F4_2,,04,256.50,38.00,,,,00
1,AP Target,REF_B0_F4_1,,04,0.00,0.00,,,,00
1,AP Points,4633,00,04,6.96,20.42,,Pool Equip.,,
1,AP Points,4632,00,04,39.81,8.09,,STBD Embark Deck,,
1,AP Points,4631,00,04,39.16,30.09,,Galley,,
1,AP Points,4630,00,04,42.68,18.38,,Chefs Office,,
1,AP Points,4529,00,04,46.24,20.13,,Lifts,,
1,AP Points,4528,00,04,52.40,7.21,,Dining Rm Lower Level,,
1,AP Points,4527,00,04,52.91,30.80,,Dining Rm Lower Level,,
1,AP Points,4526,00,04,69.95,11.02,,Dining Rm Lower Level,,
1,AP Points,4525,00,04,69.85,26.91,,Dining Rm Lower Level,,
1,AP Points,4524,00,04,88.88,6.93,,Dining Rm Lower Level,,
1,AP Points,4523,00,04,87.83,30.68,,Dining Rm Lower Level,,
1,AP Points,4422,00,04,98.71,8.10,,,,
1,AP Points,4421,00,04,99.66,29.77,,,,
1,AP Points,4420,00,04,120.30,7.44,,Centrum,,
1,AP Points,4419,00,04,120.06,30.57,,Centrum,,
1,AP Points,4418,00,04,130.99,25.03,,Centrum,,
1,AP Points,4417,00,04,132.09,7.68,,Centrum,,
1,AP Points,4416,00,04,132.04,30.06,,,,
1,AP Points,4315,00,04,143.18,26.50,,,,
1,AP Points,4314,00,04,150.76,11.45,,,,
1,AP Points,4313,00,04,150.53,24.19,,,,
1,AP Points,4312,00,04,159.42,17.79,,,,
1,AP Points,4311,00,04,165.75,25.40,,,,
1,AP Points,4310,00,04,166.07,7.92,,,,
1,AP Points,4309,00,04,167.07,29.96,,,,
1,AP Points,4308,00,04,178.69,15.78,,Main Lounge,,
1,AP Points,4235,00,04,214.91,9.25,,Main Lounge,,
1,AP Points,4234,00,04,214.97,28.72,,Main Lounge,,
1,AP Points,4207,00,04,187.78,7.76,,Main Lounge,,
1,AP Points,4206,00,04,186.33,30.13,,Main Lounge,,
1,AP Points,4205,00,04,197.63,10.46,,Main Lounge,,
1,AP Points,4204,00,04,198.07,26.91,,Main Lounge,,
1,AP Points,4203,00,04,208.53,13.04,,Main Lounge,,
1,AP Points,4202,00,04,207.84,24.99,,Main Lounge,,
1,AP Points,4101,00,04,232.63,19.03,,Hatch,,
