Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F4_1,00,04,0.00,0.00
1,AP Target,REF_B0_F4_2,00,04,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,04,POO0004ATRIUM,Atrium,00,N,,,,
1,Line,,,,,,107.50,29.90,108.54,31.44
1,Line,,,,,,136.74,29.05,136.74,8.95
1,Line,,,,,,108.54,31.44,126.60,31.49
1,Line,,,,,,127.80,29.05,136.74,29.05
1,Line,,,,,,126.60,31.49,127.80,29.05
1,Line,,,,,,107.50,7.78,107.50,29.90
1,Line,,,,,,108.58,6.56,107.50,7.78
1,Line,,,,,,126.52,6.56,108.58,6.56
1,Line,,,,,,136.74,8.95,127.80,8.95
1,Line,,,,,,127.80,8.95,126.52,6.56

1,IP_POI#,04,POO0004LIVECAS,Live Casino,00,N,,,,
1,Line,,,,,,167.82,13.05,166.78,14.50
1,Line,,,,,,175.03,12.97,167.82,13.05
1,Line,,,,,,166.77,18.93,169.59,22.59
1,Line,,,,,,166.78,14.50,166.77,18.93
1,Line,,,,,,175.00,9.00,175.03,12.97
1,Line,,,,,,137.76,13.26,137.73,8.95
1,Line,,,,,,149.16,15.30,147.18,13.30
1,Line,,,,,,137.73,8.95,175.00,9.00
1,Line,,,,,,147.18,13.30,137.76,13.26
1,Line,,,,,,151.77,18.48,149.12,18.43
1,Line,,,,,,159.01,26.69,156.73,24.39
1,Line,,,,,,149.12,18.43,149.16,15.30
1,Line,,,,,,156.71,23.28,151.77,18.48
1,Line,,,,,,156.73,24.39,156.71,23.28
1,Line,,,,,,175.10,22.64,175.04,29.03
1,Line,,,,,,169.59,22.59,175.10,22.64
1,Line,,,,,,158.99,29.07,159.01,26.69
1,Line,,,,,,175.04,29.03,158.99,29.07

1,IP_POI#,04,PKI0004D4GALLEY,KITCHEN GALLEY,00,N,,,,
1,Line,,,,,,36.36,29.05,27.15,32.59
1,Line,,,,,,15.64,31.43,7.96,26.04
1,Line,,,,,,27.15,32.59,15.64,31.43
1,Line,,,,,,49.87,8.50,49.87,19.00
1,Line,,,,,,49.87,19.00,49.87,29.05
1,Line,,,,,,49.87,29.05,36.36,29.05
1,Line,,,,,,7.96,26.04,7.96,19.00
1,Line,,,,,,7.96,11.97,16.50,6.08
1,Line,,,,,,16.50,6.08,22.83,5.29
1,Line,,,,,,22.83,5.29,26.80,5.30
1,Line,,,,,,36.12,8.50,49.87,8.50
1,Line,,,,,,26.80,5.30,36.12,8.50
1,Line,,,,,,7.96,19.00,7.96,11.97

1,IP_POI#,04,POO0004LIVERMCAS,Live Room Casino,00,N,,,,
1,Line,,,,,,158.76,26.80,156.49,24.53
1,Line,,,,,,156.48,23.42,152.36,19.37
1,Line,,,,,,152.36,19.37,149.39,19.37
1,Line,,,,,,137.53,29.02,158.75,29.03
1,Line,,,,,,158.75,29.03,158.76,26.80
1,Line,,,,,,156.49,24.53,156.48,23.42
1,Line,,,,,,139.22,19.31,139.22,23.52
1,Line,,,,,,137.47,23.51,137.53,29.02
1,Line,,,,,,139.22,23.52,137.47,23.51
1,Line,,,,,,149.39,19.37,147.99,20.87
1,Line,,,,,,147.99,20.87,146.40,19.28
1,Line,,,,,,146.40,19.28,139.22,19.31

1,IP_POI#,04,POO000447DEGP,47 Deg Restuarant Port,00,N,,,,
1,Line,,,,,,96.18,25.22,96.18,29.11
1,Line,,,,,,96.18,29.11,93.42,29.15
1,Line,,,,,,88.75,25.29,96.18,25.22
1,Line,,,,,,87.70,19.20,87.69,24.25
1,Line,,,,,,87.69,24.25,88.75,25.29
1,Line,,,,,,93.42,29.15,93.23,30.25
1,Line,,,,,,50.03,19.20,87.70,19.20
1,Line,,,,,,50.05,30.39,50.03,19.20
1,Line,,,,,,52.71,32.84,50.05,30.39
1,Line,,,,,,93.23,30.25,88.84,32.80
1,Line,,,,,,88.84,32.80,52.71,32.84

1,IP_POI#,04,POO000447DEGSB,47 Deg Restuarant Starboard,00,N,,,,
1,Line,,,,,,52.79,5.16,88.69,5.16
1,Line,,,,,,88.69,5.16,93.38,8.90
1,Line,,,,,,50.15,7.62,52.79,5.16
1,Line,,,,,,87.71,18.80,50.04,18.80
1,Line,,,,,,50.04,18.80,50.15,7.62
1,Line,,,,,,88.75,12.72,87.71,13.76
1,Line,,,,,,87.71,13.76,87.71,18.80
1,Line,,,,,,95.20,12.70,88.75,12.72
1,Line,,,,,,93.38,8.90,95.20,8.89
1,Line,,,,,,95.20,8.89,95.20,12.70
