Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F4_1,00,04,0.00,0.00
1,AP Target,REF_B0_F4_2,00,04,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,04,PQU0004D4QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,246.70,24.70,253.07,22.05
1,Line,,,,,,253.07,22.05,255.51,19.11
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,224.25,31.59,232.65,29.79
1,Line,,,,,,232.65,29.79,240.11,27.22
1,Line,,,,,,240.11,27.22,246.70,24.70
1,Line,,,,,,190.39,34.28,201.08,34.00
1,Line,,,,,,126.30,34.31,190.39,34.28
1,Line,,,,,,255.51,19.11,126.30,19.20
1,Line,,,,,,218.85,32.74,224.25,31.59
1,Line,,,,,,210.73,33.80,218.85,32.74
1,Line,,,,,,201.08,34.00,210.73,33.80

1,IP_POI#,04,PQU0004D4QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,7.33,28.39,9.88,30.79
1,Line,,,,,,5.17,25.51,7.33,28.39
1,Line,,,,,,13.75,33.14,17.99,34.31
1,Line,,,,,,9.88,30.79,13.75,33.14
1,Line,,,,,,3.50,22.26,5.17,25.51
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,125.90,19.20,2.48,19.19
1,Line,,,,,,2.48,19.19,3.50,22.26
1,Line,,,,,,17.99,34.31,125.90,34.30

1,IP_POI#,04,PQU0004D4QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,218.83,5.35,224.20,6.20
1,Line,,,,,,224.20,6.20,231.94,8.25
1,Line,,,,,,239.04,10.39,246.19,13.09
1,Line,,,,,,201.07,4.00,210.73,4.20
1,Line,,,,,,190.38,3.72,201.07,4.00
1,Line,,,,,,210.73,4.20,218.83,5.35
1,Line,,,,,,255.49,18.80,126.30,18.81
1,Line,,,,,,126.30,18.81,126.30,3.71
1,Line,,,,,,126.30,3.71,190.38,3.72
1,Line,,,,,,231.94,8.25,239.04,10.39
1,Line,,,,,,246.19,13.09,253.23,16.04
1,Line,,,,,,253.23,16.04,255.49,18.80

1,IP_POI#,04,PQU0004D4QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,15.37,4.17,19.60,3.69
1,Line,,,,,,10.96,6.43,15.37,4.17
1,Line,,,,,,125.90,3.70,125.90,18.80
1,Line,,,,,,19.60,3.69,125.90,3.70
1,Line,,,,,,8.03,8.86,10.96,6.43
1,Line,,,,,,2.48,18.81,3.47,15.80
1,Line,,,,,,125.90,18.80,2.48,18.81
1,Line,,,,,,5.17,12.49,8.03,8.86
1,Line,,,,,,3.47,15.80,5.17,12.49
