Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F6_1,00,06,0.00,0.00
1,AP Target,REF_B0_F6_2,00,06,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,06,PSU00060001,Staff Quarters,00,N,,,,
1,Line,,,,,,210.64,9.94,210.64,4.03
1,Line,,,,,,210.64,4.03,208.39,4.03
1,Line,,,,,,208.39,9.94,210.64,9.94
1,Line,,,,,,208.39,4.03,208.39,9.94

1,IP_POI#,06,PSU00060002,Staff Quarters,00,N,,,,
1,Line,,,,,,211.08,4.30,211.08,10.00
1,Line,,,,,,213.66,4.30,211.08,4.30
1,Line,,,,,,211.08,10.00,213.66,10.00
1,Line,,,,,,213.66,10.00,213.66,4.30

1,IP_POI#,06,PSU00060003,Staff Quarters,00,N,,,,
1,Line,,,,,,214.13,4.55,215.35,4.55
1,Line,,,,,,215.35,4.55,219.03,5.23
1,Line,,,,,,214.12,9.70,214.13,4.55
1,Line,,,,,,219.02,9.67,214.12,9.70
1,Line,,,,,,219.03,5.23,219.02,9.67

1,IP_POI#,06,PSU00060004,Staff Quarters,00,N,,,,
1,Line,,,,,,222.59,9.76,221.74,9.76
1,Line,,,,,,221.74,9.76,221.74,12.31
1,Line,,,,,,221.57,7.06,222.59,9.76
1,Line,,,,,,219.49,5.47,220.01,5.47
1,Line,,,,,,220.01,5.47,221.57,7.06
1,Line,,,,,,217.64,12.32,217.64,10.12
1,Line,,,,,,221.74,12.31,217.64,12.32
1,Line,,,,,,217.64,10.12,219.11,10.10
1,Line,,,,,,219.49,9.70,219.49,5.47
1,Line,,,,,,219.11,10.10,219.49,9.70

1,IP_POI#,06,PSU00060005,Staff Quarters,00,N,,,,
1,Line,,,,,,222.19,12.76,222.19,10.21
1,Line,,,,,,222.79,10.21,223.38,12.55
1,Line,,,,,,223.38,12.55,223.80,15.23
1,Line,,,,,,222.19,10.21,222.79,10.21
1,Line,,,,,,223.80,15.23,217.63,15.23
1,Line,,,,,,217.63,15.23,217.59,12.75
1,Line,,,,,,217.59,12.75,222.19,12.76

1,IP_POI#,06,PSU00060006,Staff Quarters,00,N,,,,
1,Line,,,,,,217.64,16.08,223.81,16.08
1,Line,,,,,,217.64,18.81,217.64,16.08
1,Line,,,,,,223.99,18.82,217.64,18.81
1,Line,,,,,,223.81,16.08,223.99,18.82

1,IP_POI#,06,PSU00060007,Staff Quarters,00,N,,,,
1,Line,,,,,,223.99,19.23,217.64,19.24
1,Line,,,,,,223.81,21.97,223.99,19.23
