Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F7_1,00,07,0.00,0.00
1,AP Target,REF_B0_F7_2,00,07,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,07,PQU0007D7QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,202.75,34.80,210.47,34.39
1,Line,,,,,,210.47,34.39,216.76,32.71
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,190.60,34.80,202.75,34.80
1,Line,,,,,,126.30,34.31,190.60,34.80
1,Line,,,,,,216.76,32.71,222.37,29.58
1,Line,,,,,,223.64,24.60,224.24,21.80
1,Line,,,,,,224.24,19.22,126.30,19.20
1,Line,,,,,,224.24,21.80,224.24,19.22
1,Line,,,,,,222.37,29.58,223.30,26.70
1,Line,,,,,,223.30,26.70,223.64,24.60

1,IP_POI#,07,PQU0007D7QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,13.10,26.12,13.62,29.68
1,Line,,,,,,12.86,23.78,13.10,26.12
1,Line,,,,,,13.62,29.68,14.03,31.86
1,Line,,,,,,14.03,31.86,25.30,34.86
1,Line,,,,,,12.68,21.20,12.86,23.78
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,125.90,19.20,12.60,19.20
1,Line,,,,,,12.60,19.20,12.68,21.20
1,Line,,,,,,25.30,34.86,125.90,34.30

1,IP_POI#,07,PQU0007D7QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,222.37,8.42,223.30,11.30
1,Line,,,,,,216.76,5.29,222.37,8.42
1,Line,,,,,,223.64,13.40,224.24,16.20
1,Line,,,,,,224.24,16.20,224.24,18.78
1,Line,,,,,,223.30,11.30,223.64,13.40
1,Line,,,,,,210.47,3.61,216.76,5.29
1,Line,,,,,,126.30,18.80,126.30,3.69
1,Line,,,,,,224.24,18.78,126.30,18.80
1,Line,,,,,,126.30,3.69,190.60,3.20
1,Line,,,,,,202.75,3.20,210.47,3.61
1,Line,,,,,,190.60,3.20,202.75,3.20

1,IP_POI#,07,PQU0007D7QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,12.86,14.22,13.10,11.88
1,Line,,,,,,13.62,8.32,14.03,6.14
1,Line,,,,,,12.60,18.80,12.68,16.80
1,Line,,,,,,12.68,16.80,12.86,14.22
1,Line,,,,,,13.10,11.88,13.62,8.32
1,Line,,,,,,125.90,3.70,125.90,18.80
1,Line,,,,,,125.90,18.80,12.60,18.80
1,Line,,,,,,14.03,6.14,25.30,3.14
1,Line,,,,,,25.30,3.14,125.90,3.70
